_original_section,_code_type,StatuteLiteral,_level,EnactDate,RepealAmendDate,_section_only,_subparts,_subdivision,_paragraph,_subparagraph,_clause,_charge_reconstructed
417(B),PC,EXH LOADED F/ARM:DAY CARE,F,1992-01-01,,417,(B),(B),,,,417(B)
417(B),PC,EXH LOADED F/ARM:DAY CARE,M,1992-01-01,,417,(B),(B),,,,417(B)
417(C),PC,EXHIBIT FIREARM PRES PO,F,1992-01-01,,417,(C),(C),,,,417(C)
417(C),PC,EXHIB/ETC F/ARM:PO PRESNT,M,1999-01-01,,417,(C),(C),,,,417(C)
417.25(A),PC,THREAT W/LASER SCOPE:FEAR,M,1993-01-01,,417.25,(A),(A),,,,417.25(A)
417.26(A),PC,AIM/ETC LASER POINTERS:PO,M,2000-01-01,,417.26,(A),(A),,,,417.26(A)
417.26(B),PC,AIM LASER PNTR PO W/PR,M,2000-01-01,,417.26,(B),(B),,,,417.26(B)
417.27(A),PC,SELL LASER POINTER TO JUV,I,2000-01-01,,417.27,(A),(A),,,,417.27(A)
417.27(B),PC,STDNT POSS LASR PNTR,I,2000-01-01,2020-11-24,417.27,(B),(B),,,,417.27(B)
417.27(B),PC,STDNT POSS LSR PNTR SCHL,I,2020-11-25,,417.27,(B),(B),,,,417.27(B)
417.27(C),PC,AIM LSR PNTR:INT TO HAR,I,2000-01-01,,417.27,(C),(C),,,,417.27(C)
417.27(D),PC,AIM LSR PNTR:GUIDE DOG/ET,I,2000-01-01,,417.27,(D),(D),,,,417.27(D)
417.3,PC,EXH F/ARM PRES VEH OCCUPT,F,1988-01-01,,417.3,,,,,,417.3
417.4,PC,BRANDISHING F/ARM REPLICA,M,1994-01-01,,417.4,,,,,,417.4
417.6(A),PC,EXH F/ARM/DLY WPN W/SBI,F,1983-01-01,,417.6,(A),(A),,,,417.6(A)
417.8,PC,EXH F/ARM/ETC:RSIST AREST,F,1983-01-01,,417.8,,,,,,417.8
418,PC,FORCIBLE ENTRY,M,1872-01-01,,418,,,,,,418
419,PC,RETAKE LAND AFT LEGAL REM,M,1872-01-01,,419,,,,,,419
420,PC,PREVENT PUBLIC LAND ENTRY,M,1905-01-01,,420,,,,,,420
420.1,PC,PRVNT ENTRY OF PRVT LAND,I,1999-01-01,,420.1,,,,,,420.1
422,PC,THRTN CRIME:INT:TERRORIZE,F,1988-09-26,2011-09-30,422,,,,,,422
422,PC,THREAT CRIME:INT:TERORIZE,M,1988-09-26,2011-09-30,422,,,,,,422
422(A),PC,THRTN CRIME:INT:TERRORIZE,M,2011-10-01,,422,(A),(A),,,,422(A)
422(A),PC,THRTN CRIME:INT:TERRORIZE,F,2011-10-01,,422,(A),(A),,,,422(A)
422.4(A),PC,PUBLSH INFO ACADEMC VIOL,M,2009-01-01,,422.4,(A),(A),,,,422.4(A)
422.6(A),PC,VIO CIVIL RGHTS:FRCE/THRT,M,1988-01-01,,422.6,(A),(A),,,,422.6(A)
422.6(B),PC,DAMAGE PROP:VIO CIVL RGHT,M,1988-01-01,,422.6,(B),(B),,,,422.6(B)
422.7(A),PC,CIV RGT VIOL:VIOLENT INJ,F,1988-01-01,,422.7,(A),(A),,,,422.7(A)
422.7(B),PC,VIOL CIV RGTS:PROP DAMAGE,F,1988-01-01,,422.7,(B),(B),,,,422.7(B)
423.2(A),PC,VIOLENCE/ETC:REP HLTH SVS,M,2002-01-01,,423.2,(A),(A),,,,423.2(A)
423.2(B),PC,FORCE ON PRSN:PLCE WRSHIP,M,2002-01-01,,423.2,(B),(B),,,,423.2(B)
423.2(C),PC,NONVIOL OBST:REP HLTH SVS,M,2002-01-01,,423.2,(C),(C),,,,423.2(C)
423.2(D),PC,NONVIOL OBST:PLCE WORSHIP,M,2002-01-01,,423.2,(D),(D),,,,423.2(D)
423.2(E),PC,DAMAGE PROP:REP HLTH SVS,M,2002-01-01,,423.2,(E),(E),,,,423.2(E)
423.2(F),PC,DAMAGE PROP:PLACE WORSHIP,M,2002-01-01,,423.2,(F),(F),,,,423.2(F)
424(A)(1),PC,EMBEZ - APPROP PUB MONEY,F,2020-11-03,,424,(A)(1),(A),(1),,,424(A)(1)
424(A)(2),PC,EMBEZ - LOANS APPROP PUB,F,2020-11-12,,424,(A)(2),(A),(2),,,424(A)(2)
424(A)(3),PC,EMBEZ - KEEP FALSE ACCNT,F,2020-11-12,,424,(A)(3),(A),(3),,,424(A)(3)
424(A)(4),PC,EMBEZ - FALSIFY ACCOUNT,F,2020-11-12,,424,(A)(4),(A),(4),,,424(A)(4)
424(A)(5),PC,EMBEZ - RFS PAY PUB MNY,F,2020-11-12,,424,(A)(5),(A),(5),,,424(A)(5)
424(A)(6),PC,EMBEZ - OMITS TO TRSNFER,F,2020-11-12,,424,(A)(6),(A),(6),,,424(A)(6)
424(A)(7),PC,EMBEZ - RFS TO PAY OFCR,F,2020-11-12,,424,(A)(7),(A),(7),,,424(A)(7)
424(A)1,PC,EMBEZZLEMENT BY PUB OFCR,F,1872-01-01,2020-11-02,424,(A)1,(A),(1),,,424(A)(1)
424(A)2,PC,EMBEZZLEMENT BY PUB OFCR,F,1872-01-01,2020-11-11,424,(A)2,(A),(2),,,424(A)(2)
424(A)3,PC,EMBEZZLEMENT BY PUB OFCR,F,1872-01-01,2020-11-11,424,(A)3,(A),(3),,,424(A)(3)
424(A)4,PC,EMBEZZLEMENT BY PUB OFCR,F,1872-01-01,2020-11-11,424,(A)4,(A),(4),,,424(A)(4)
424(A)5,PC,EMBEZZLEMENT BY PUB OFCR,F,1872-01-01,2020-11-11,424,(A)5,(A),(5),,,424(A)(5)
424(A)6,PC,EMBEZZLEMENT BY PUB OFCR,F,1872-01-01,2020-11-11,424,(A)6,(A),(6),,,424(A)(6)
424(A)7,PC,EMBEZZLEMENT BY PUB OFCR,F,1872-01-01,2020-11-11,424,(A)7,(A),(7),,,424(A)(7)
425,PC,FAIL TO PAY PUBLIC MONEY,F,1872-01-01,,425,,,,,,425
428,PC,HINDER REVENUE COLLECTION,M,1872-01-01,,428,,,,,,428
429,PC,TELE PRVDR FL COLLECT FEE,M,1991-01-01,,429,,,,,,429
431,PC,FAIL DEL/ETC TAX RECT/ETC,M,1872-01-01,,431,,,,,,431
432,PC,POSS BLNK LIC/POLL TX REC,F,1872-01-01,,432,,,,,,432
432.6(A),LC,REQ APP TO WV RIGHT FEHA,M,2020-01-01,,432.6,(A),(A),,,,432.6(A)
436,PC,UNLAWFUL AUCTIONEER,M,1872-01-01,,436,,,,,,436
439,PC,PROCURING INSURANCE,M,1872-01-01,2020-11-08,439,,,,,,439
439,PC,PROCR INS FRM UNLIC CMPNY,M,2020-11-09,,439,,,,,,439
440,PC,REFUSE RECORDS INSPECTION,M,1872-01-01,,440,,,,,,440
443.17(A),HS,ALTER REQ/AID DYING DRUG,F,2016-01-01,,443.17,(A),(A),,,,443.17(A)
443.17(B),HS,COERCE IDV AID DYING DRUG,F,2016-01-01,,443.17,(B),(B),,,,443.17(B)
451,PC,MAL SET/ETC FIRE PROP/ETC,F,1980-01-01,,451,,,,,,451
451(A),PC,ARSON CAUSING GBI,F,1980-01-01,,451,(A),(A),,,,451(A)
451(B),PC,ARSON:INHABITED STRUCTURE,F,1980-01-01,,451,(B),(B),,,,451(B)
451(C),PC,ARSON:FOREST LAND,F,1980-01-01,,451,(C),(C),,,,451(C)
451(D),PC,ARSON:PROPERTY,F,1980-01-01,,451,(D),(D),,,,451(D)
451(E),PC,ARSON:WHILE CONFINED,F,1980-01-01,,451,(E),(E),,,,451(E)
451(E),PC,ARSON:WHILE CONFINED,M,1980-01-01,,451,(E),(E),,,,451(E)
451.1(A),PC,ARSON:SENTENCE ENHANCEMNT,F,1995-01-01,,451.1,(A),(A),,,,451.1(A)
451.5,PC,AGGRAVATED ARSON,F,1994-09-07,,451.5,,,,,,451.5
451.5(A),PC,AGGRAVATED ARSON,F,1994-09-07,,451.5,(A),(A),,,,451.5(A)
451.5(A)(1),PC,AGGRAVATED ARSON W/PRIOR,F,1994-09-07,,451.5,(A)(1),(A),(1),,,451.5(A)(1)
451.5(A)(2)(A),PC,"AGG ARSON:+$5,000,000 PD",F,1994-09-07,2009-12-31,451.5,(A)(2)(A),(A),(2),(A),,451.5(A)(2)(A)
451.5(A)(2)(A),PC,"AGG ARSON:+$6,500,000PD",F,2010-01-01,,451.5,(A)(2)(A),(A),(2),(A),,451.5(A)(2)(A)
451.5(A)(3),PC,AGG ARSON:5+ INHAB STRUCT,F,1994-09-07,,451.5,(A)(3),(A),(3),,,451.5(A)(3)
451.5(B),PC,AGGRAVATED ARSON:PUNISH,F,1994-09-07,,451.5,(B),(B),,,,451.5(B)
451.5(C),PC,AGG ARSON:PAROLE ELIGIBTY,F,1994-09-07,,451.5,(C),(C),,,,451.5(C)
452(A),PC,ARSON:CAUSE GBI,F,1980-01-01,2020-10-28,452,(A),(A),,,,452(A)
452(A),PC,UNLAW CAUSE FIRE W/GBI,M,1980-01-01,,452,(A),(A),,,,452(A)
452(A),PC,CAUSE FIRE W/GBI,F,2020-10-29,,452,(A),(A),,,,452(A)
452(B),PC,CAUSE FIRE OF INHAB STRUC,F,1980-01-01,,452,(B),(B),,,,452(B)
452(B),PC,CAUSE FIRE OF INHAB STRUC,M,1980-01-01,,452,(B),(B),,,,452(B)
452(C),PC,CAUSE FIRE OF STRUC/FORES,F,1980-01-01,,452,(C),(C),,,,452(C)
452(C),PC,CAUSE FIRE:STRUCTR/FOREST,M,1980-01-01,,452,(C),(C),,,,452(C)
452(D),PC,CAUSING FIRE OF PROPERTY,M,1980-01-01,,452,(D),(D),,,,452(D)
453(A),PC,POS/ETC ARSON MATERIL/DEV,F,1980-01-01,2020-10-28,453,(A),(A),,,,453(A)
453(A),PC,ARSON:POS/ETC MAT/DEVICE,M,1980-01-01,2020-10-28,453,(A),(A),,,,453(A)
453(A),PC,POSS FLAM MTRL/DVC ARSON,F,2020-10-29,,453,(A),(A),,,,453(A)
453(A),PC,POSS FLAM MTRL/DVC ARSON,M,2020-10-29,,453,(A),(A),,,,453(A)
453(B),PC,POSSESS/MFG/DISP FIREBOMB,M,1980-01-01,,453,(B),(B),,,,453(B)
454(A)(1),PC,ARSON:STATE OF INSURRECTN,F,1992-08-31,2021-10-01,454,(A)(1),(A),(1),,,454(A)(1)
454(A)(2),PC,ARSON:STATE EMERGENCY,F,1992-08-31,2021-10-01,454,(A)(2),(A),(2),,,454(A)(2)
455,PC,AID IN ARSON,F,1980-01-01,2020-11-11,455,,,,,,455
455(A),PC,ATTEMPT/AID/ETC IN ARSON,F,2020-11-12,,455,(A),(A),,,,455(A)
457.1,PC,REG OF ARSON OFFENDER,X,1800-01-01,,457.1,,,,,,457.1
457.1(H),PC,FAIL REG:ARSON OFFENDER,M,2000-01-01,,457.1,(H),(H),,,,457.1(H)
459,PC,BURGLARY,F,1872-01-01,,459,,,,,,459
459,PC,BURGLARY:FIRST DEGREE,F,1923-01-01,,459,,,,,,459
459,PC,BURGLARY:SECOND DEGREE,F,1923-01-01,,459,,,,,,459
459,PC,BURGLARY:SECOND DEGREE,M,1923-01-01,,459,,,,,,459
459.5,PC,SHOPLIFTING,M,2014-11-02,2020-11-11,459.5,,,,,,459.5
459.5,PC,SHOPLIFTING,F,2014-11-05,2020-11-11,459.5,,,,,,459.5
459.5(A),PC,SHOPLIFTING,M,2020-11-12,,459.5,(A),(A),,,,459.5(A)
459.5(A),PC,SHOPLIFTING AFTR SPEC OFF,F,2020-11-12,,459.5,(A),(A),,,,459.5(A)
460(A),PC,BURGLARY:FIRST DEGREE,F,1992-01-01,,460,(A),(A),,,,460(A)
460(B),PC,BURGLARY:SECOND DEGREE,F,1992-01-01,,460,(B),(B),,,,460(B)
460(B),PC,BURGLARY:SECOND DEGREE,M,1992-01-01,,460,(B),(B),,,,460(B)
461.1,PC,BURGLARY:FIRST DEGREE,F,1923-01-01,,461.1,,,,,,461.1
461.2,PC,BURGLARY:SECOND DEGREE,F,1923-01-01,,461.2,,,,,,461.2
463(A),PC,BURG/ETC:STATE EMERG/ETC,F,1991-01-01,2020-10-28,463,(A),(A),,,,463(A)
463(A),PC,LOOTING DURING ST EMERG,M,1991-01-01,,463,(A),(A),,,,463(A)
463(A),PC,LOOTING DURING ST EMERG,F,2020-10-29,,463,(A),(A),,,,463(A)
463(B),PC,LOOT/GRAND THEFT ST EMERG,M,1991-01-01,,463,(B),(B),,,,463(B)
463(B),PC,GRAND THEFT:STATE EMERG,F,1991-01-01,2020-11-01,463,(B),(B),,,,463(B)
463(B),PC,LOOT/GRAND THEFT ST EMERG,F,2020-11-02,,463,(B),(B),,,,463(B)
463(C),PC,PETTY THEFT:STATE EMERG,M,1991-01-01,2020-11-01,463,(C),(C),,,,463(C)
463(C),PC,LOOT/PETTY THEFT ST EMERG,M,2020-11-02,,463,(C),(C),,,,463(C)
464,PC,BURGLARY W/EXPLOSIVES,F,1925-01-01,2020-10-28,464,,,,,,464
464,PC,BURGLARY W/EXPLOSIVES/ETC,F,2020-10-29,,464,,,,,,464
466,PC,POSSESS BURGLARY TOOLS,M,1872-01-01,,466,,,,,,466
466.1,PC,SELL LOCK PICK/ETC,M,1985-01-01,,466.1,,,,,,466.1
466.3(A),PC,POSSESS TAMPER DEVICE,M,1973-03-07,2020-10-28,466.3,(A),(A),,,,466.3(A)
466.3(A),PC,POSSESS KEY/TAMPER DEVICE,M,2020-10-29,,466.3,(A),(A),,,,466.3(A)
466.5(A),PC,POSS/USE VEH MASTER KEY,M,1968-11-13,2020-10-28,466.5,(A),(A),,,,466.5(A)
466.5(A),PC,POSS W/INT VEH MASTER KEY,M,2020-10-29,,466.5,(A),(A),,,,466.5(A)
466.5(B),PC,POSSESS VEH MASTER KEY,M,1968-11-13,2020-10-28,466.5,(B),(B),,,,466.5(B)
466.5(B),PC,UNLAW USE VEH MASTER KEY,M,2020-10-29,,466.5,(B),(B),,,,466.5(B)
466.5(C),PC,MFG/SELL VEH MASTER KEY,M,1968-11-13,,466.5,(C),(C),,,,466.5(C)
466.6(A),PC,MAKE VEH/ETC KEY W/O ORDR,M,1993-01-01,,466.6,(A),(A),,,,466.6(A)
466.65(A),PC,POSS MOTORCYCL IGNITN DVC,M,2011-01-01,,466.65,(A),(A),,,,466.65(A)
466.65(B),PC,POSS HRDWR MOTORCYCL THFT,M,2011-01-01,,466.65,(B),(B),,,,466.65(B)
466.7,PC,ILLEGAL POSS OF VEH KEY,M,1978-01-01,,466.7,,,,,,466.7
466.8(A),PC,MAKE RES/ETC KEY W/O ORDR,M,1993-01-01,2020-10-28,466.8,(A),(A),,,,466.8(A)
466.8(A),PC,MAKE ILL HOUS KEY W/O ORD,M,2020-10-29,,466.8,(A),(A),,,,466.8(A)
466.9(A),PC,POSS CODE GRAB DEV:CRIME,M,1996-01-01,,466.9,(A),(A),,,,466.9(A)
466.9(B),PC,USE CODE DEV:VEH ALR:CRIM,M,1996-01-01,,466.9,(B),(B),,,,466.9(B)
468,PC,BUY/SELL SNIPERSCOPE,M,1958-07-23,,468,,,,,,468
469,PC,ILLEGAL POSS BUILDING KEY,M,1970-09-14,2020-10-28,469,,,,,,469
469,PC,POSS ILL ST PUB BLDG KEY,M,2020-10-29,,469,,,,,,469
470,PC,FORGERY,F,1990-01-01,,470,,,,,,470
470,PC,FORGERY,M,1905-01-01,,470,,,,,,470
470(A),PC,FORGERY,F,1909-01-01,,470,(A),(A),,,,470(A)
470(A),PC,FORGERY:INTENT:DEFRAUD,M,1909-01-01,2020-11-01,470,(A),(A),,,,470(A)
470(A),PC,FORGERY,M,2020-11-02,,470,(A),(A),,,,470(A)
470(B),PC,FORGE/ETC HANDWRITING/ETC,F,1999-01-01,,470,(B),(B),,,,470(B)
470(B),PC,FORGE/ETC HANDWRITING/ETC,M,2014-11-05,,470,(B),(B),,,,470(B)
470(C),PC,ALTER/ETC WILL/ETC,F,1999-01-01,,470,(C),(C),,,,470(C)
470(C),PC,ALTER/ETC WILL/ETC,M,1999-01-01,,470,(C),(C),,,,470(C)
470(D),PC,FALSE CHECK/RECS/CERT/ETC,F,1999-01-01,,470,(D),(D),,,,470(D)
470(D),PC,FALSE CHECKS/REC/CERT/ETC,M,1999-01-01,,470,(D),(D),,,,470(D)
470A,PC,ALT/FORGE/ETC DRIV LIC/ID,F,1972-03-04,,470A,,,,,,470A
470A,PC,ALT/FORGE/ETC DRIV LIC/ID,M,1972-03-04,,470A,,,,,,470A
470B,PC,POSS DL/ID TO CMMT FORGRY,F,1972-03-04,,470B,,,,,,470B
470B,PC,POSS DL/ID COMMIT FORGERY,M,1972-03-04,,470B,,,,,,470B
471,PC,MAKE FALSE ENT IN RECORDS,F,1872-01-01,,471,,,,,,471
471,PC,MAKE FLS ENTRIES IN RCRDS,M,1872-01-01,,471,,,,,,471
471.5,PC,ALTER MEDICAL RECORDS,M,1975-01-01,,471.5,,,,,,471.5
472,PC,FORGE OFFICIAL SEAL,F,1872-01-01,,472,,,,,,472
472,PC,FORGE/ETC OFFICIAL SEAL,M,1872-01-01,,472,,,,,,472
473(B),PC,FORGERY:CHECK ETC -$950,M,2014-11-05,,473,(B),(B),,,,473(B)
474,PC,SEND FORGD TELE MSG:FRAUD,F,1905-01-01,,474,,,,,,474
474,PC,SEND FORGED TELE MSG DFRD,M,1905-01-01,,474,,,,,,474
475(A),PC,POS/ETC BAD/ETC CHEKS/ETC,F,1999-01-01,,475,(A),(A),,,,475(A)
475(A),PC,POS/ETC BAD/ETC CHECK/ETC,M,1999-01-01,,475,(A),(A),,,,475(A)
475(B),PC,POS BLANK CHEC/ETC:DEFRAD,F,1999-01-01,,475,(B),(B),,,,475(B)
475(B),PC,POS BLANK CHECK/ETC:FRAUD,M,1999-01-01,,475,(B),(B),,,,475(B)
475(C),PC,PAS COMPLET CHECK/ETC:DEF,F,1999-01-01,,475,(C),(C),,,,475(C)
475(C),PC,PASS COMPLETED CHECK/ETC,M,1999-01-01,,475,(C),(C),,,,475(C)
476,PC,MAKE FICTITIOUS CHECK,F,1872-01-01,2020-11-24,476,,,,,,476
476,PC,MAKE/ETC FICT CHECK/ETC,M,1933-08-21,,476,,,,,,476
476,PC,MAKE FICT CHECK INT DFRD,F,2020-11-25,,476,,,,,,476
476A(A),PC,INSUFICENT FUND:CHECK/ETC,F,1956-07-03,2020-11-01,476A,(A),(A),,,,476A(A)
476A(A),PC,INSUFICNT FUND:CHECK/ETC,M,1956-07-03,2020-11-02,476A,(A),(A),,,,476A(A)
476A(A),PC,INSUFF FUND CHECK $950+,F,2020-11-02,,476A,(A),(A),,,,476A(A)
476A(A),PC,INSUFF FUND CHECK -$950,M,2020-11-03,,476A,(A),(A),,,,476A(A)
476A(B),PC,NONSUFFICIENT FUNDS:CHECK,M,1956-07-03,,476A,(B),(B),,,,476A(B)
476A(B),PC,NONSUFFICIENT FUNDS:CHECK,F,1956-07-03,,476A,(B),(B),,,,476A(B)
477,PC,COUNTERFEITING,F,1872-01-01,,477,,,,,,477
478,PC,COUNTERFEITING,F,1872-01-01,,478,,,,,,478
479,PC,POSS/RECEIVE CNTRFT COIN,F,1872-01-01,,479,,,,,,479
480(A),PC,MAKE/ETC COUNTRFT PLT/ETC,F,2000-01-01,2020-11-01,480,(A),(A),,,,480(A)
480(A),PC,MAKE/ETC CNTRFEIT PLATES,F,2020-11-02,,480,(A),(A),,,,480(A)
481,PC,FORGE RR/STEAMSHIP TICKET,F,1905-01-01,,481,,,,,,481
481,PC,FORGE RR/STEAMSHIP TICKET,M,1935-09-15,,481,,,,,,481
481.1(A),PC,COUNTERFT FARE MEDIA TRAN,F,1988-01-01,,481.1,(A),(A),,,,481.1(A)
481.1(A),PC,CNTRFEIT FARE/MEDIA TRNSP,M,1988-01-01,,481.1,(A),(A),,,,481.1(A)
481.1(B),PC,POSS/CNTRFT PUB TRAN FARE,M,1988-01-01,,481.1,(B),(B),,,,481.1(B)
482,PC,RESTORE RR/ETC TICKET,M,1905-01-01,2020-11-01,482,,,,,,482
482,PC,RESTORE CANCELLED RR TCKT,M,2020-11-02,,482,,,,,,482
483,PC,UNAUTHORIZED TICKET SALE,M,1917-01-01,2020-11-01,483,,,,,,483
483,PC,SELL PSGR TCKT TO UNAUTH,M,2020-11-02,,483,,,,,,483
483.5(A),PC,MFG/ETC FALSE ID DOCUMENT,F,1996-01-01,2020-11-11,483.5,(A),(A),,,,483.5(A)
483.5(A),PC,MFG/ETC FALSE IDENT DOC,M,1996-01-01,2020-11-11,483.5,(A),(A),,,,483.5(A)
483.5(B),PC,POSSESS DOC-MAKING DEVICE,M,1996-01-01,,483.5,(B),(B),,,,483.5(B)
483.5(F),PC,MFG/ETC FALSE ID DOCUMENT,F,2020-11-12,,483.5,(F),(F),,,,483.5(F)
483.5(F),PC,MFG/ETC FALSE ID DOCUMENT,M,2020-11-12,,483.5,(F),(F),,,,483.5(F)
484,PC,THEFT,M,1800-01-01,,484,,,,,,484
484,PC,THEFT,F,1800-01-01,,484,,,,,,484
484(A),PC,THEFT PERSONAL PROPERTY,F,1967-11-08,2020-10-28,484,(A),(A),,,,484(A)
484(A),PC,THEFT OF PERSONAL PROP,M,1967-11-08,,484,(A),(A),,,,484(A)
484(A),PC,PETTY THEFT,M,1967-11-08,,484,(A),(A),,,,484(A)
484(A),PC,GRAND THEFT,F,1967-11-08,,484,(A),(A),,,,484(A)
484(A),PC,THEFT,F,1967-11-08,,484,(A),(A),,,,484(A)
484(A),PC,THEFT,M,1967-11-08,,484,(A),(A),,,,484(A)
484(A),PC,PETTY THEFT:$50-,I,1992-01-01,,484,(A),(A),,,,484(A)
484(A),PC,THEFT OF PROP AFTER PRIOR,F,2020-10-29,,484,(A),(A),,,,484(A)
484(A)/488,PC,THFT PRSNL PROP/PTY THFT,M,1967-11-08,,484,(A)/488,(A),(488),,,484(A)(488)
484(A)/666,PC,THFT/PTY THFT W/PRIOR,F,1967-11-08,,484,(A)/666,(A),(666),,,484(A)(666)
484(A)/666,PC,PETTY THEFT/THEFT W/PRIOR,M,1967-11-08,,484,(A)/666,(A),(666),,,484(A)(666)
484(B)(1),PC,THEFT:RENTAL PROPERTY,M,2001-01-01,,484,(B)(1),(B),(1),,,484(B)(1)
484(B)(1),PC,THEFT:RENTAL PROPERTY,F,2001-01-01,,484,(B)(1),(B),(1),,,484(B)(1)
484.1(A),PC,FALS INF/ETC:PAWNBRKR/ETC,M,1989-01-01,2020-11-01,484.1,(A),(A),,,,484.1(A)
484.1(A),PC,FALS INF/ETC:PAWNBRKR/ETC,F,1989-01-01,2020-11-01,484.1,(A),(A),,,,484.1(A)
484.1(A),PC,FLS INFO TO PWNBRKR -$950,M,2020-11-02,,484.1,(A),(A),,,,484.1(A)
484.1(A),PC,FLS INFO TO PWNBRKR $950+,F,2020-11-02,,484.1,(A),(A),,,,484.1(A)
484B,PC,DIVERSION OF FUNDS,M,1965-09-17,2020-11-01,484B,,,,,,484B
484B,PC,DIVERT FUNDS $1000+,F,1965-09-17,2020-11-01,484B,,,,,,484B
484B,PC,DIVERSION OF FUNDS -$2350,M,2020-11-02,,484B,,,,,,484B
484B,PC,DIVERSION OF FUNDS $2350+,F,2020-11-02,,484B,,,,,,484B
484C,PC,OBTAIN MONEY BY FLS VOUCH,F,1965-09-17,,484C,,,,,,484C
484C,PC,OBT MONEY BY FLS VOUCHER,M,1965-09-17,,484C,,,,,,484C
484E(A),PC,ACQ ACC CARD:INT:SELL/ETC,M,1995-01-01,2020-11-03,484E,(A),(A),,,,484E(A)
484E(A),PC,SELL/ETC LOST/ETC ACC CRD,F,1999-01-01,2020-11-03,484E,(A),(A),,,,484E(A)
484E(A),PC,ACQ ACCES CARD W/INT SELL,M,2020-11-04,,484E,(A),(A),,,,484E(A)
484E(A),PC,ACQ ACCES CARD W/INT SELL,F,2020-11-04,,484E,(A),(A),,,,484E(A)
484E(B),PC,GRAND THEFT ACC CARDS 4+,F,1999-01-01,2020-11-03,484E,(B),(B),,,,484E(B)
484E(B),PC,ACQ ACCES CRD INT SELL 4+,M,1999-01-01,,484E,(B),(B),,,,484E(B)
484E(B),PC,ACQ ACCES CRD INT SELL 4+,F,2020-11-04,,484E,(B),(B),,,,484E(B)
484E(C),PC,SEL/ETC ACCESS CARD:FRAUD,M,1995-01-01,,484E,(C),(C),,,,484E(C)
484E(D),PC,USE ACC ACOUNT INFO NO OK,F,1999-01-01,,484E,(D),(D),,,,484E(D)
484E(D),PC,USE ACC ACOUNT DATA:NO OK,M,1999-01-01,,484E,(D),(D),,,,484E(D)
484F(A),PC,FORGE ACCESS CARD:DEFRAUD,F,1995-01-01,,484F,(A),(A),,,,484F(A)
484F(A),PC,FORGE ACCESS CARD:DEFRAUD,M,1995-01-01,,484F,(A),(A),,,,484F(A)
484F(B),PC,FORGE NAME:ACC CARD/ETC,F,1995-01-01,,484F,(B),(B),,,,484F(B)
484F(B),PC,FORGE NAME:ACC CARD/ETC,M,1995-01-01,,484F,(B),(B),,,,484F(B)
484G,PC,THFT:USE ACCESS CRD DATA,F,1987-01-01,,484G,,,,,,484G
484G,PC,THFT:USE ACCESS CARD DATA,M,1987-01-01,,484G,,,,,,484G
484G(A),PC,THEFT:FORGED ACCESS CARD,F,1987-01-01,,484G,(A),(A),,,,484G(A)
484G(A),PC,THEFT:FORGED ACCESS CARD,M,1987-01-01,,484G,(A),(A),,,,484G(A)
484G(B),PC,THEFT:CRDT CRD HLDR $400+,F,1987-01-01,2020-11-02,484G,(B),(B),,,,484G(B)
484G(B),PC,THEFT:MISREP AS CARD HLDR,M,1987-01-01,,484G,(B),(B),,,,484G(B)
484G(B),PC,UNAUTH USE ACCSS CRD 950+,F,2020-11-03,,484G,(B),(B),,,,484G(B)
484H(A),PC,MRCH ACPT BAD A/CRD $400+,F,1987-01-01,2020-11-02,484H,(A),(A),,,,484H(A)
484H(A),PC,MRCH ACPT BAD A/CRD -$400,M,1987-01-01,2020-11-03,484H,(A),(A),,,,484H(A)
484H(A),PC,ACCPT BAD ACCES CRD $950+,F,2020-11-03,,484H,(A),(A),,,,484H(A)
484H(A),PC,ACCPT BAD ACCES CRD -$950,M,2020-11-04,,484H,(A),(A),,,,484H(A)
484H(B),PC,FAIL FURNISH GOODS/SRV,F,1987-01-01,2020-11-01,484H,(B),(B),,,,484H(B)
484H(B),PC,FAIL FURNISH GOODS/SRV,M,1987-01-01,2020-11-01,484H,(B),(B),,,,484H(B)
484H(B),PC,RCV PYMNT ITEMS NOT PURCH,F,2020-11-02,,484H,(B),(B),,,,484H(B)
484H(B),PC,RCV PYMNT ITEMS NOT PURCH,M,2020-11-02,,484H,(B),(B),,,,484H(B)
484I(A),PC,UNLAWFUL ACCESS CARD POSS,M,1987-01-01,2020-11-03,484I,(A),(A),,,,484I(A)
484I(A),PC,POSS INCOMPLETE ACCS CARD,M,2020-11-04,,484I,(A),(A),,,,484I(A)
484I(B),PC,ALT/ETC ACC ACCOUNT DATA,F,1999-01-01,2020-11-03,484I,(B),(B),,,,484I(B)
484I(B),PC,ALTER/ETC CARD ACCNT INFO,M,1999-01-01,,484I,(B),(B),,,,484I(B)
484I(B),PC,ALTER/ETC CARD ACCNT INFO,F,2020-11-04,,484I,(B),(B),,,,484I(B)
484I(C),PC,MAKE/ETC EQUIP:FAKE CARDS,F,1999-01-01,,484I,(C),(C),,,,484I(C)
484I(C),PC,MAKE/ETC EQUIP:FAKE CARD,M,1999-01-01,,484I,(C),(C),,,,484I(C)
484J,PC,PUBLIC ACCESS CARD NBR,M,1987-01-01,,484J,,,,,,484J
485,PC,APPROPR LOST PROP,F,1872-01-01,,485,,,,,,485
485,PC,APPROPR LOST PROP,M,1872-01-01,,485,,,,,,485
487,PC,GRAND THEFT,F,1872-01-01,,487,,,,,,487
